ZIPCODE,HOUSEHOLD,FAMILIES,FAMILIES_CHILD,FAMILIES_NO_CHILD
Zip Code 11226,"$58,257.00","$65,178.00","$56,446.00","$69,486.00"
Zip Code 11228,"$72,902.00","$84,054.00","$83,297.00","$85,298.00"
Zip Code 11229,"$64,631.00","$81,481.00","$77,106.00","$83,701.00"
Zip Code 11230,"$53,070.00","$66,240.00","$61,640.00","$72,023.00"
Zip Code 11231,"$99,643.00","$141,500.00","$157,463.00","$114,776.00"
Zip Code 11232,"$61,200.00","$58,913.00","$46,942.00","$73,433.00"
Zip Code 11233,"$44,905.00","$48,545.00","$39,279.00","$62,063.00"
Zip Code 11234,"$85,807.00","$95,976.00","$98,967.00","$94,328.00"
Zip Code 11235,"$54,646.00","$71,542.00","$70,663.00","$72,566.00"
Zip Code 11236,"$70,793.00","$82,853.00","$74,329.00","$87,984.00"
Zip Code 11237,"$53,303.00","$43,640.00","$33,151.00","$51,954.00"
Zip Code 11238,"$91,846.00","$118,291.00","$156,853.00","$102,133.00"
Zip Code 11239,"$29,172.00","$34,528.00","$51,786.00","$29,907.00"
Zip Code 11354,"$40,786.00","$47,405.00","$45,768.00","$49,046.00"
Zip Code 11355,"$42,507.00","$45,619.00","$40,483.00","$50,417.00"
Zip Code 11356,"$61,859.00","$66,463.00","$65,347.00","$68,000.00"
Zip Code 11357,"$85,818.00","$98,213.00","$109,881.00","$85,985.00"
Zip Code 11358,"$68,848.00","$78,357.00","$86,042.00","$76,767.00"
Zip Code 11360,"$83,063.00","$107,188.00","$116,944.00","$95,662.00"
Zip Code 11361,"$87,892.00","$97,203.00","$96,057.00","$100,285.00"
Zip Code 11362,"$93,333.00","$121,625.00","$141,975.00","$118,036.00"
Zip Code 11363,"$101,019.00","$128,009.00","$138,750.00","$113,571.00"
Zip Code 11364,"$82,028.00","$98,424.00","$102,846.00","$96,783.00"
Zip Code 11365,"$67,642.00","$75,409.00","$73,354.00","$76,273.00"
Zip Code 11366,"$84,301.00","$93,913.00","$67,014.00","$101,607.00"
Zip Code 11367,"$63,546.00","$72,975.00","$67,392.00","$79,414.00"
Zip Code 11368,"$54,211.00","$51,779.00","$42,746.00","$65,063.00"
Zip Code 11369,"$54,184.00","$64,000.00","$50,651.00","$73,498.00"
Zip Code 11370,"$63,706.00","$81,712.00","$65,069.00","$83,893.00"
Zip Code 11372,"$60,659.00","$62,626.00","$53,508.00","$66,051.00"
Zip Code 11373,"$54,584.00","$58,918.00","$50,813.00","$65,610.00"
Zip Code 11374,"$66,795.00","$87,591.00","$94,310.00","$86,692.00"
Zip Code 11375,"$84,713.00","$109,994.00","$131,646.00","$98,606.00"
Zip Code 11377,"$58,948.00","$64,678.00","$56,743.00","$69,458.00"
Zip Code 11378,"$77,710.00","$87,242.00","$86,062.00","$88,705.00"
Zip Code 11379,"$83,883.00","$102,200.00","$100,813.00","$103,559.00"
Zip Code 11385,"$75,340.00","$76,414.00","$71,612.00","$79,628.00"
Zip Code 11411,"$98,207.00","$113,769.00","$111,648.00","$115,350.00"
Zip Code 11412,"$81,608.00","$94,103.00","$91,181.00","$94,878.00"
Zip Code 11413,"$93,432.00","$99,229.00","$92,703.00","$102,446.00"
Zip Code 11414,"$75,471.00","$89,181.00","$91,742.00","$86,996.00"
Zip Code 11415,"$70,900.00","$86,948.00","$109,130.00","$76,979.00"
Zip Code 11416,"$73,370.00","$75,471.00","$60,061.00","$81,333.00"
Zip Code 11417,"$76,868.00","$85,046.00","$70,104.00","$93,378.00"
Zip Code 11418,"$68,920.00","$72,047.00","$65,565.00","$76,121.00"
Zip Code 11419,"$75,835.00","$79,508.00","$67,548.00","$87,696.00"
Zip Code 11420,"$79,273.00","$82,528.00","$70,540.00","$88,871.00"
Zip Code 11421,"$73,107.00","$78,779.00","$72,021.00","$83,675.00"
Zip Code 11422,"$88,130.00","$92,304.00","$89,972.00","$94,028.00"
Zip Code 11423,"$71,194.00","$82,156.00","$74,429.00","$88,560.00"
Zip Code 11426,"$98,987.00","$115,136.00","$114,034.00","$115,602.00"
Zip Code 11427,"$79,385.00","$96,292.00","$94,575.00","$97,409.00"
Zip Code 11428,"$78,368.00","$88,320.00","$79,250.00","$90,433.00"
Zip Code 11429,"$88,300.00","$97,941.00","$88,531.00","$100,052.00"
Zip Code 11432,"$62,148.00","$67,198.00","$55,290.00","$79,468.00"
Zip Code 11433,"$54,253.00","$65,591.00","$61,544.00","$68,725.00"
Zip Code 11434,"$64,087.00","$81,641.00","$76,721.00","$85,763.00"
Zip Code 11435,"$66,137.00","$70,354.00","$55,066.00","$84,334.00"
Zip Code 11436,"$75,222.00","$79,740.00","$63,969.00","$84,737.00"
Zip Code 11691,"$50,267.00","$61,360.00","$60,325.00","$64,441.00"
Zip Code 11692,"$46,819.00","$50,516.00","$42,614.00","$57,188.00"
Zip Code 11693,"$60,569.00","$66,250.00","$62,188.00","$67,741.00"
Zip Code 11694,"$84,485.00","$111,046.00","$120,943.00","$107,721.00"
Zip Code 11697,"$105,750.00","$123,438.00","$189,400.00","$115,000.00"
Zip Code 7306,"$59,794.00","$59,794.00","$59,794.00","$59,794.00"
Zip Code 7302,"$136,679.00","$136,679.00","$136,679.00","$136,679.00"
Zip Code 7310,"$147,516.00","$147,516.00","$147,516.00","$147,516.00"
Zip Code 7105,"$147,516.00","$147,516.00","$147,516.00","$147,516.00"
Zip Code 7029,"$88,365.00","$88,365.00","$88,365.00","$88,365.00"
Zip Code 7102,"$47,417.00","$47,417.00","$47,417.00","$47,417.00"
