STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY,ZIPCODE
CLEVELAND ST,211605.0,2784.0,11208
EAST 105 ST,206603.0,2718.0,11236
BOWERY,205653.0,2706.0,10002
CYPRESS AV,202298.0,2662.0,10454
CENTRAL AV,201541.0,2652.0,11221
SUTTER AV,200417.0,2637.0,11212
75 ST-ELDERTS,200264.0,2635.0,11421
CLARK ST,199634.0,2627.0,11201
225 ST,199173.0,2621.0,10466
BRIARWOOD,198111.0,2607.0,11435
71 ST,197590.0,2600.0,11228
COURT SQ-23 ST,196842.0,2590.0,11101
85 ST-FOREST PK,196442.0,2585.0,11421
BEVERLEY ROAD,193643.0,2548.0,11226
ST. GEORGE,189709.0,2496.0,10301
HARLEM 148 ST,187449.0,2466.0,10039
NEWARK HW BMEBE,183413.0,2413.0,7102
65 ST,183196.0,2410.0,11377
VAN SICLEN AVE,182835.0,2406.0,11207
6 AV,177875.0,2340.0,10065
PARK PLACE,176759.0,2326.0,10007
DITMAS AV,176752.0,2326.0,11218
SENECA AVE,174746.0,2299.0,11385
JACKSON AV,174227.0,2292.0,10455
LAFAYETTE AV,173905.0,2288.0,11217
80 ST,172518.0,2270.0,11417
ALABAMA AV,171376.0,2255.0,11207
HEWES ST,170778.0,2247.0,11211
MARBLE HILL-225,163194.0,2147.0,10463
OCEAN PKWY,160996.0,2118.0,11235
JUNIUS ST,159407.0,2097.0,11212
BROAD ST,158937.0,2091.0,10005
39 AV,158350.0,2084.0,11101
NEREID AV,156307.0,2057.0,10466
BURKE AV,153447.0,2019.0,10467
25 AV,151429.0,1992.0,11214
219 ST,151171.0,1989.0,10467
BEVERLY RD,150883.0,1985.0,11226
NECK RD,149865.0,1972.0,11229
SHEPHERD AV,148155.0,1949.0,11208
ZEREGA AV,147899.0,1946.0,10461
HOWARD BCH JFK,146124.0,1923.0,11414
WHITLOCK AV,145830.0,1919.0,10459
CHAUNCEY ST,142768.0,1879.0,11207
