STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY
PROSPECT AV,582549.0,7665.0
5 AV/59 ST,578665.0,7614.0
PELHAM PKWY,573890.0,7551.0
PROSPECT PARK,569113.0,7488.0
CITY / BUS,567373.0,7465.0
COURT SQ,559265.0,7359.0
WHITEHALL S-FRY,557212.0,7332.0
HOYT-SCHER,551828.0,7261.0
NASSAU AV,539674.0,7101.0
BURNSIDE AV,537411.0,7071.0
BROOKLYN BRIDGE,529531.0,6968.0
149/GRAND CONC,528259.0,6951.0
TREMONT AV,518636.0,6824.0
DYCKMAN ST,514019.0,6763.0
81 ST-MUSEUM,508320.0,6688.0
QUEENS PLAZA,508079.0,6685.0
40 ST LOWERY ST,503657.0,6627.0
NORWOOD 205 ST,503595.0,6626.0
GREENPOINT AV,503419.0,6624.0
PRINCE ST,498325.0,6557.0
EXCHANGE PLACE,496478.0,6533.0
EAST BROADWAY,496394.0,6532.0
3 AV 138 ST,496027.0,6527.0
BROADWAY JCT,491868.0,6472.0
30 AV,490694.0,6456.0
CORTLANDT ST,482947.0,6355.0
NEVINS ST,479687.0,6312.0
157 ST,477131.0,6278.0
191 ST,476470.0,6269.0
ASTORIA BLVD,475859.0,6261.0
8 ST-NYU,474778.0,6247.0
ELMHURST AV,474706.0,6246.0
PAVONIA/NEWPORT,470263.0,6188.0
57 ST,469344.0,6176.0
21 ST-QNSBRIDGE,458521.0,6033.0
MYRTLE AV,455863.0,5998.0
E 180 ST,453763.0,5971.0
INWOOD-207 ST,452506.0,5954.0
CLINTON-WASH AV,451743.0,5944.0
BAY RIDGE AV,451207.0,5937.0
SUTTER AV-RUTLD,450811.0,5932.0
174 ST,449673.0,5917.0
169 ST,444865.0,5853.0
CENTRAL PK N110,442016.0,5816.0
HIGH ST,440998.0,5803.0
BROOK AV,437057.0,5751.0
OZONE PK LEFFRT,435945.0,5736.0
GRAHAM AV,435878.0,5735.0
46 ST,430305.0,5662.0
EUCLID AV,427003.0,5618.0
SOUTH FERRY,423924.0,5578.0
MORISN AV/SNDVW,423749.0,5576.0
NEWARK BM BW,421083.0,5541.0
PARSONS BLVD,417889.0,5499.0
4AV-9 ST,412657.0,5430.0
THIRTY ST,410176.0,5397.0
14TH STREET,408022.0,5369.0
LORIMER ST,404441.0,5322.0
5 AVE,404092.0,5317.0
ELDER AV,398889.0,5249.0
BLEECKER ST,397590.0,5231.0
45 ST,396431.0,5216.0
WEST FARMS SQ,393557.0,5178.0
20 AV,390519.0,5138.0
CARROLL ST,385402.0,5071.0
NEW LOTS AV,382323.0,5031.0
NORTHERN BLVD,381504.0,5020.0
69 ST,381066.0,5014.0
NEWKIRK AV,377447.0,4966.0
VAN SICLEN AV,374183.0,4923.0
BEDFORD-NOSTRAN,373905.0,4920.0
52 ST,373300.0,4912.0
FRESH POND RD,372214.0,4898.0
ROOSEVELT ISLND,370328.0,4873.0
HOUSTON ST,369182.0,4858.0
WESTCHESTER SQ,369147.0,4857.0
36 AV,366093.0,4817.0
WAKEFIELD/241,365819.0,4813.0
MOSHOLU PKWY,364104.0,4791.0
WORLD TRADE CTR,363577.0,4784.0
HOYT ST,357307.0,4701.0
UNION ST,353270.0,4648.0
HARRISON,348206.0,4582.0
SIMPSON ST,346564.0,4560.0
SARATOGA AV,346158.0,4555.0
MONTROSE AV,344264.0,4530.0
PARKSIDE AV,343958.0,4526.0
E 149 ST,343773.0,4523.0
9 AV,343355.0,4518.0
CRESCENT ST,343334.0,4518.0
QUEENSBORO PLZ,342220.0,4503.0
